dataset,transform,model,repeat,Accuracy,CV absolute,prob_pos,prob_pos_race_White_0,prob_pos_race_White_0-race_White_1,prob_pos_race_White_0/race_White_1,prob_pos_race_White_1
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam",0-0,0.8396727111897391,0.8800148872474051,0.23850066342326404,0.13528481012658228,0.1199851127525951,0.5299676851887262,0.2552699228791774
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.1",0-0,0.7522114108801415,1.0,0.0,0.0,0.0,,0.0
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.2",0-0,0.8458646616541353,0.90513488008851,0.19869526758071648,0.11708860759493672,0.09486511991149003,0.552425328737785,0.21195372750642674
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.3",0-0,0.8157894736842105,0.9096616608636228,0.2367315347191508,0.15901898734177214,0.09033833913637697,0.6377153203706121,0.2493573264781491
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.4",0-0,0.8017470145953118,0.8719155738505093,0.3372401592215833,0.22705696202531644,0.12808442614949073,0.6393424410267687,0.3551413881748072
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.5",0-0,0.7654798761609907,0.8491393055871921,0.4272445820433437,0.2974683544303797,0.15086069441280792,0.6635045290906979,0.4483290488431877
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.6",0-0,0.7588456435205662,0.8454825745989392,0.4383016364440513,0.30537974683544306,0.15451742540106078,0.6640174484012709,0.4598971722365038
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.7",0-0,0.7439186200796107,0.8331163971234259,0.4631800088456435,0.3196202531645569,0.16688360287657414,0.6569737304148621,0.4865038560411311
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.8",0-0,0.6901813356921717,0.821719924506199,0.5410216718266254,0.3876582278481013,0.17828007549380104,0.6849831961522207,0.5659383033419023
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.9",0-0,0.6647501105705439,0.8219631642315577,0.570875718708536,0.4177215189873418,0.17803683576844231,0.701159313424276,0.5957583547557841
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam",1-2410,0.8484077841662981,0.9167737789203084,0.19659442724458204,0.125,0.08322622107969152,0.6003086419753086,0.20822622107969152
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.1",1-2410,0.7522114108801415,1.0,0.0,0.0,0.0,,0.0
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.2",1-2410,0.8264042459088898,0.9344159806059028,0.19803184431667406,0.14161392405063292,0.06558401939409716,0.6834716681848164,0.20719794344473008
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.3",1-2410,0.8089340999557718,0.9074798249324786,0.3050641309155241,0.2254746835443038,0.0925201750675214,0.7090513492217799,0.3179948586118252
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.4",1-2410,0.7957762052189297,0.8888284631154209,0.35117204776647504,0.2555379746835443,0.11117153688457908,0.6968403235324131,0.36670951156812337
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.5",1-2410,0.761499336576736,0.8582961830073867,0.42569659442724456,0.3037974683544304,0.1417038169926133,0.6819227650887099,0.4455012853470437
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.6",1-2410,0.7361786819991154,0.8485047671732127,0.4689296771340115,0.33860759493670883,0.15149523282678728,0.6908909227924456,0.4901028277634961
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.7",1-2410,0.7347412649270234,0.8471994891152257,0.4692613887660328,0.33781645569620256,0.1528005108847743,0.6885543686970018,0.4906169665809769
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.8",1-2410,0.7045555064130915,0.8400186293970258,0.5118310482087571,0.3742088607594937,0.15998137060297424,0.700516106041593,0.5341902313624679
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.9",1-2410,0.6810039805395842,0.8321532003514367,0.5431225121627599,0.3987341772151899,0.1678467996485633,0.7037549679523996,0.5665809768637532
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam",2-4820,0.8477443609022557,0.8918022517978588,0.23706324635117204,0.1439873417721519,0.10819774820214118,0.5709589801158724,0.25218508997429306
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.1",2-4820,0.7522114108801415,1.0,0.0,0.0,0.0,,0.0
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.2",2-4820,0.7973241928350288,0.9268751423643877,0.170499778858912,0.10759493670886076,0.07312485763561223,0.5953688531969679,0.180719794344473
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.3",2-4820,0.8301636444051305,0.9205781621164297,0.2320875718708536,0.16376582278481014,0.07942183788357032,0.6734133727620628,0.24318766066838046
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.4",2-4820,0.7878151260504201,0.8725972958901436,0.38412206988058384,0.2745253164556962,0.1274027041098565,0.6830210943477187,0.4019280205655527
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.5",2-4820,0.7779743476337904,0.8598544629201783,0.40457762052189294,0.28401898734177217,0.14014553707982164,0.6695962792481781,0.4241645244215938
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.6",2-4820,0.758624502432552,0.8610482900003253,0.44073418841220696,0.3212025316455696,0.1389517099996746,0.6980323173750088,0.4601542416452442
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.7",2-4820,0.6999115435647943,0.8508594741466272,0.5246572313135781,0.3963607594936709,0.14914052585337279,0.7265991302687935,0.5455012853470437
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.8",2-4820,0.6818885448916409,0.8479072435000488,0.547766475011057,0.41693037974683544,0.15209275649995124,0.7327125264130064,0.5690231362467867
Adult Race,no_transform,"LR (torch), wd: 0.1, RAdam, PR_t: 0.9",2-4820,0.6750331711632022,0.8451990660896164,0.5548429898275099,0.42167721518987344,0.15480093391038363,0.7314712896716199,0.5764781491002571
