dataset,transform,model,split_id,Accuracy,CV absolute,F1,prob_pos,prob_pos_race_White_0,prob_pos_race_White_0-race_White_1,prob_pos_race_White_0/race_White_1,prob_pos_race_White_1,seed
Adult Race,no_transform,Agarwal LR,0,0.8471915081822202,0.8990738179688262,0.661108386463953,0.2031180893409996,0.11629746835443038,0.10092618203117376,0.5353812448505729,0.21722365038560407,0.0
Adult Race,no_transform,Kamiran & Calders LR,0,0.8469703670942061,0.9070140900068336,0.6584402764067129,0.2002432551968156,0.12025316455696206,0.0929859099931665,0.5639358771869588,0.21323907455012853,0.0
Adult Race,no_transform,"Logistic Regression, C=1.0",0,0.8471915081822202,0.8990738179688262,0.661108386463953,0.2031180893409996,0.11629746835443038,0.10092618203117376,0.5353812448505729,0.21722365038560407,0.0
Adult Race,no_transform,LRCV,0,0.8049535603715171,0.9607293937717614,0.4265279583875162,0.09232640424590888,0.05854430379746835,0.03927060622823859,0.5985212661554583,0.09781491002570694,0.0
Adult Race,no_transform,SVM,0,0.8636665192392746,0.9155242263512414,0.6803214933886441,0.17868199911543564,0.1060126582278481,0.08447577364875859,0.5565306889424144,0.1904884318766067,0.0
Adult Race,no_transform,Agarwal LR,1,0.8529411764705882,0.9134518076209691,0.6717670286278382,0.2002432551968156,0.12579113924050633,0.08654819237903094,0.592406212645968,0.21233933161953727,2410.0
Adult Race,no_transform,Kamiran & Calders LR,1,0.8523883237505528,0.924171032507891,0.6689809075130176,0.19814241486068115,0.13291139240506328,0.07582896749210896,0.6367306852902662,0.20874035989717224,2410.0
Adult Race,no_transform,"Logistic Regression, C=1.0",1,0.8529411764705882,0.9134518076209691,0.6717670286278382,0.2002432551968156,0.12579113924050633,0.08654819237903094,0.592406212645968,0.21233933161953727,2410.0
Adult Race,no_transform,LRCV,1,0.8068332596196374,0.9611947219420128,0.436633344082554,0.0950906678460858,0.061708860759493674,0.03880527805798705,0.6139321441289779,0.10051413881748072,2410.0
Adult Race,no_transform,SVM,1,0.8606811145510835,0.9308019589339754,0.6705020920502092,0.17503317116320213,0.11550632911392406,0.06919804106602452,0.6253578569981414,0.1847043701799486,2410.0
Adult Race,no_transform,Agarwal LR,2,0.8513931888544891,0.9068766066838047,0.671875,0.20510835913312694,0.125,0.09312339331619537,0.5730701237477902,0.21812339331619537,4820.0
Adult Race,no_transform,Kamiran & Calders LR,2,0.8510614772224679,0.9137686700725651,0.6691230655858511,0.20234409553295002,0.1281645569620253,0.08623132992743485,0.5977939167653219,0.21439588688946015,4820.0
Adult Race,no_transform,"Logistic Regression, C=1.0",2,0.8513931888544891,0.9068766066838047,0.671875,0.20510835913312694,0.125,0.09312339331619537,0.5730701237477902,0.21812339331619537,4820.0
Adult Race,no_transform,LRCV,2,0.8123617868199912,0.9657243500048811,0.4566122318283701,0.09752321981424149,0.0680379746835443,0.03427564999511894,0.664994275173335,0.10231362467866324,4820.0
Adult Race,no_transform,SVM,2,0.8657673595754091,0.9114599264586248,0.6854922279792746,0.17901371074745687,0.10284810126582279,0.08854007354137515,0.5373796023157161,0.19138817480719794,4820.0
